"","school","logo"
"130","Coast Guard","http://a.espncdn.com/i/teamlogos/ncaa/500/2557.png"
"131","Coe","http://a.espncdn.com/i/teamlogos/ncaa/500/2141.png"
"132","Colby","http://a.espncdn.com/i/teamlogos/ncaa/500/33.png"
"133","Colgate","http://a.espncdn.com/i/teamlogos/ncaa/500/2142.png"
"134","College of Faith","http://a.espncdn.com/i/teamlogos/ncaa/500/3211.png"
"135","College of Faith - Charlotte","http://a.espncdn.com/i/teamlogos/ncaa/500/3253.png"
"136","College of Idaho",""
"137","College of New Jersey","http://a.espncdn.com/i/teamlogos/ncaa/500/2442.png"
"138","Colorado","http://a.espncdn.com/i/teamlogos/ncaa/500/38.png"
"139","Colorado College","http://a.espncdn.com/i/teamlogos/ncaa/500/2144.png"
"140","Colorado Mesa","http://a.espncdn.com/i/teamlogos/ncaa/500/11.png"
"141","Colorado Mines","http://a.espncdn.com/i/teamlogos/ncaa/500/2146.png"
"142","Colorado State","http://a.espncdn.com/i/teamlogos/ncaa/500/36.png"
"143","Colorado State-Pueblo","http://a.espncdn.com/i/teamlogos/ncaa/500/2570.png"
"144","Columbia","http://a.espncdn.com/i/teamlogos/ncaa/500/171.png"
"145","Concord","http://a.espncdn.com/i/teamlogos/ncaa/500/2148.png"
"146","Concordia (AL)","http://a.espncdn.com/i/teamlogos/ncaa/500/3099.png"
"147","Concordia College (MI)","http://a.espncdn.com/i/teamlogos/ncaa/500/2985.png"
"148","Concordia (IL)","http://a.espncdn.com/i/teamlogos/ncaa/500/2151.png"
"149","Concordia (MN)","http://a.espncdn.com/i/teamlogos/ncaa/500/2152.png"
"150","Concordia-St. Paul","http://a.espncdn.com/i/teamlogos/ncaa/500/3066.png"
"151","Concordia (WI)","http://a.espncdn.com/i/teamlogos/ncaa/500/409.png"
"152","Connecticut","http://a.espncdn.com/i/teamlogos/ncaa/500/41.png"
"153","Cornell","http://a.espncdn.com/i/teamlogos/ncaa/500/172.png"
"154","Cornell College (IA)","http://a.espncdn.com/i/teamlogos/ncaa/500/2155.png"
"155","Crown College","http://a.espncdn.com/i/teamlogos/ncaa/500/509.png"
"156","Culver-Stockton","http://a.espncdn.com/i/teamlogos/ncaa/500/510.png"
"157","Cumberland","http://a.espncdn.com/i/teamlogos/ncaa/500/2161.png"
"158","Cumberland College","http://a.espncdn.com/i/teamlogos/ncaa/500/511.png"
"159","Curry","http://a.espncdn.com/i/teamlogos/ncaa/500/40.png"
"160","Dakota State","http://a.espncdn.com/i/teamlogos/ncaa/500/512.png"
"161","Dakota Wesleyan","http://a.espncdn.com/i/teamlogos/ncaa/500/513.png"
"162","Dartmouth","http://a.espncdn.com/i/teamlogos/ncaa/500/159.png"
"163","Davidson","http://a.espncdn.com/i/teamlogos/ncaa/500/2166.png"
"164","Dayton","http://a.espncdn.com/i/teamlogos/ncaa/500/2168.png"
"165","Defiance","http://a.espncdn.com/i/teamlogos/ncaa/500/190.png"
"166","Delaware","http://a.espncdn.com/i/teamlogos/ncaa/500/48.png"
"167","Delaware State","http://a.espncdn.com/i/teamlogos/ncaa/500/2169.png"
"168","Delaware Valley","http://a.espncdn.com/i/teamlogos/ncaa/500/2808.png"
"169","Delta State","http://a.espncdn.com/i/teamlogos/ncaa/500/2170.png"
"170","Denison","http://a.espncdn.com/i/teamlogos/ncaa/500/2171.png"
"171","DePauw","http://a.espncdn.com/i/teamlogos/ncaa/500/83.png"
"172","Dickinson","http://a.espncdn.com/i/teamlogos/ncaa/500/2175.png"
"173","Dickinson State","http://a.espncdn.com/i/teamlogos/ncaa/500/316.png"
"174","Drake","http://a.espncdn.com/i/teamlogos/ncaa/500/2181.png"
"175","Dubuque","http://a.espncdn.com/i/teamlogos/ncaa/500/49.png"
"176","Duke","http://a.espncdn.com/i/teamlogos/ncaa/500/150.png"
"177","Duquesne","http://a.espncdn.com/i/teamlogos/ncaa/500/2184.png"
"178","Earlham","http://a.espncdn.com/i/teamlogos/ncaa/500/2189.png"
"179","East Carolina","http://a.espncdn.com/i/teamlogos/ncaa/500/151.png"
"180","East Central","http://a.espncdn.com/i/teamlogos/ncaa/500/2191.png"
"181","Eastern Illinois","http://a.espncdn.com/i/teamlogos/ncaa/500/2197.png"
"182","Eastern Kentucky","http://a.espncdn.com/i/teamlogos/ncaa/500/2198.png"
"183","Eastern Michigan","http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png"
"184","Eastern New Mexico","http://a.espncdn.com/i/teamlogos/ncaa/500/2201.png"
"185","Eastern Oregon","http://a.espncdn.com/i/teamlogos/ncaa/500/2202.png"
"186","Eastern Washington","http://a.espncdn.com/i/teamlogos/ncaa/500/331.png"
"187","East Stroudsburg","http://a.espncdn.com/i/teamlogos/ncaa/500/2188.png"
"188","East Tennessee State","http://a.espncdn.com/i/teamlogos/ncaa/500/2193.png"
"189","East Texas Baptist","http://a.espncdn.com/i/teamlogos/ncaa/500/2194.png"
"190","Edinboro","http://a.espncdn.com/i/teamlogos/ncaa/500/2205.png"
"191","Elizabeth City State","http://a.espncdn.com/i/teamlogos/ncaa/500/2207.png"
"192","Elmhurst","http://a.espncdn.com/i/teamlogos/ncaa/500/72.png"
"193","Elon","http://a.espncdn.com/i/teamlogos/ncaa/500/2210.png"
"194","Emory & Henry","http://a.espncdn.com/i/teamlogos/ncaa/500/2213.png"
"195","Emporia State","http://a.espncdn.com/i/teamlogos/ncaa/500/2214.png"
"196","Endicott College","http://a.espncdn.com/i/teamlogos/ncaa/500/452.png"
"197","Erie Community College","http://a.espncdn.com/i/teamlogos/ncaa/500/3236.png"
"198","Eureka College","http://a.espncdn.com/i/teamlogos/ncaa/500/101.png"
"199","Evangel","http://a.espncdn.com/i/teamlogos/ncaa/500/2865.png"
"200","Fairmont State","http://a.espncdn.com/i/teamlogos/ncaa/500/2986.png"
"201","Faulkner","http://a.espncdn.com/i/teamlogos/ncaa/500/2219.png"
"202","Fayetteville State","http://a.espncdn.com/i/teamlogos/ncaa/500/2220.png"
"203","FDU-Florham","http://a.espncdn.com/i/teamlogos/ncaa/500/2221.png"
"204","Ferris State","http://a.espncdn.com/i/teamlogos/ncaa/500/2222.png"
